Player Name,Club,Position,Appearances,Squawka Score,Goals Scored,Shot Accuracy,POTM,Chances Created,Average Pass Accuracy,Average Pass Length,Duels Won,Average Defensive Actions,Defensive Errors,Yellow Cards,Red Cards,Points
Sergej Milinkovic-Sa..,Lazio,Midfielder,14,260,3,52,0,19,81,17,46,2,1,1,0,117.45,
Bruno Jordao,Lazio,Midfielder,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,
Christopher Ikonomid..,Lazio,Midfielder,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,
Davide Di Gennaro,Lazio,Midfielder,1,5,0,0,0,0,100,15,100,0,0,0,0,7.0,
Alessandro Murgia,Lazio,Midfielder,4,5,0,0,0,1,84,14,41,2,0,0,0,33.5,
Abukar Mohamed,Lazio,Midfielder,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,
Nani,Lazio,Forward,5,29,1,50,0,2,83,17,45,0,0,1,0,32.125,
Filip Djordjevic,Lazio,Forward,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,
Ricardo Kishna,ADO Den Haag,Forward,2,20,0,0,0,2,88,13,56,0,0,0,0,10.9,
Keita,Monaco,Forward,11,61,3,36,0,6,77,13,47,0,0,1,0,71.575,
Ciro Immobile,Lazio,Forward,15,535,15,65,0,17,79,14,45,0,0,2,1,160.25,
Felipe Caicedo,Lazio,Forward,10,5,1,67,0,2,73,14,39,0,0,0,0,61.5,
Simone Palombi,Lazio,Forward,1,7,0,0,0,0,86,15,0,1,0,0,0,4.15,
Pedro Neto,Lazio,Forward,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,
Brayan Perea,Lazio,Forward,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,
Cristiano Lombardi,Benevento,Forward,7,30,0,33,0,8,74,15,39,2,0,1,0,41.725,
Alessandro Rossi,Lazio,Forward,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,
Mário Rui,Napoli,Defender,5,29,0,0,0,5,90,14,29,1,0,2,0,26.916666666666664,
Christian Maggio,Napoli,Defender,7,57,0,0,0,1,83,15,48,3,0,0,0,46.65,
Ivan Strinic,Sampdoria,Defender,9,53,0,0,0,5,82,16,43,4,0,1,0,61.05,
Nikola Maksimovic,Napoli,Defender,1,14,0,0,0,0,98,18,50,5,0,0,0,20.333333333333336,
Vlad Chiriches,Napoli,Defender,5,86,0,0,0,1,90,19,50,4,1,1,0,38.91666666666667,
Elseid Hysaj,Napoli,Defender,13,329,0,40,0,10,89,14,53,3,1,1,1,89.43333333333334,
Kalidou Koulibaly,Napoli,Defender,15,638,2,67,0,5,92,17,46,6,0,3,0,109.25,
Faouzi Ghoulam,Napoli,Defender,11,584,2,71,0,26,89,15,55,3,0,1,0,114.83333333333334,
Raúl Albiol,Napoli,Defender,12,423,0,20,0,5,91,21,51,4,1,1,0,82.05,
Lorenzo Tonelli,Napoli,Defender,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,
Leandrinho,Napoli,Midfielder,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,
Allan,Napoli,Midfielder,16,204,2,60,0,10,89,15,40,1,0,1,0,108.6,
Jorginho,Napoli,Midfielder,13,346,2,33,0,14,91,14,34,2,0,3,0,99.625,
Emanuele Giaccherini,Napoli,Midfielder,4,9,0,0,0,1,85,12,100,0,0,2,0,25.5,
Marek Hamsik,Napoli,Midfielder,16,560,1,52,0,25,90,15,52,1,0,0,0,124.8,
Piotr Zielinski,Napoli,Midfielder,14,271,3,44,0,11,91,14,42,1,1,2,0,104.55,
Marko Rog,Napoli,Midfielder,12,21,1,100,0,6,87,12,33,0,0,2,0,69.0,
Adam Ounas,Napoli,Midfielder,6,26,0,33,0,4,84,17,54,0,0,0,0,36.7,
Amadou Diawara,Napoli,Midfielder,8,67,0,0,0,5,92,16,29,1,0,1,0,50.2,
José Callejón,Napoli,Forward,16,434,5,63,0,22,86,16,48,2,0,1,0,138.1,
Dries Mertens,Napoli,Forward,16,532,10,64,0,25,75,13,44,1,0,2,0,156.85,
Lorenzo Insigne,Napoli,Forward,15,696,4,51,0,42,86,13,52,1,0,1,0,148.875,
Alessio Zerbin,Napoli,Forward,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,
Leonardo Pavoletti,Cagliari,Forward,12,59,3,43,0,11,67,13,44,1,0,2,0,80.75,
Duván Zapata,Sampdoria,Forward,13,203,6,47,0,14,72,14,56,1,0,0,0,106.175,
Arkadiusz Milik,Napoli,Forward,3,63,1,100,0,3,76,11,50,0,0,0,0,26.95,
Vincent Laurini,Fiorentina,Defender,9,117,0,0,0,5,79,19,51,3,0,2,0,61.85,
Cristiano Biraghi,Fiorentina,Defender,14,173,0,0,0,27,77,21,46,5,2,1,0,118.68333333333334,
Vitor Hugo,Fiorentina,Defender,5,38,0,0,0,0,90,17,50,3,0,0,0,35.66666666666667,
Nikola Milenkovic,Fiorentina,Defender,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,
Davide Astori,Fiorentina,Defender,15,314,1,20,0,5,87,21,54,8,1,4,0,116.25,
Maximiliano Olivera,Fiorentina,Defender,3,13,0,0,0,3,78,22,53,3,0,0,0,29.35,
Germán Pezzella,Fiorentina,Defender,14,267,1,36,0,3,82,22,45,8,1,2,0,101.75,
Bruno Gaspar,Fiorentina,Defender,8,42,0,0,0,6,85,17,42,3,0,1,0,53.9,
Milan Badelj,Fiorentina,Midfielder,13,141,1,13,0,15,83,18,34,4,0,4,1,101.025,
Carlos Sánchez,Fiorentina,Midfielder,6,4,0,0,0,0,83,18,28,2,0,1,0,39.65,
Riccardo Saponara,Fiorentina,Midfielder,3,10,0,0,0,1,75,15,33,0,0,0,0,15.1,
Valentin Eysseric,Fiorentina,Midfielder,8,33,0,0,0,8,80,16,51,0,0,0,0,50.2,
Ianis Hagi,Fiorentina,Midfielder,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,
Matías Fernández,Fiorentina,Midfielder,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,
Jordan Veretout,Fiorentina,Midfielder,15,354,3,50,0,23,87,19,43,3,0,3,0,131.75,
Sebastián Cristóforo..,Fiorentina,Midfielder,3,13,0,0,0,1,90,19,42,0,0,0,0,16.9,
Marco Benassi,Fiorentina,Midfielder,14,227,3,58,0,23,81,17,39,2,0,1,0,119.0,
Andrés Schetino,Fiorentina,Midfielder,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,
Gil Dias,Fiorentina,Midfielder,10,135,1,50,0,12,82,14,47,1,0,0,0,75.25,
Jaime Báez,Fiorentina,Forward,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,
Ante Rebic,Croatia,Forward,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,
Giovanni Simeone,Fiorentina,Forward,15,63,5,43,0,12,69,13,30,1,0,1,0,106.0,
Federico Chiesa,Fiorentina,Forward,14,187,3,47,0,16,81,15,51,1,0,3,0,101.8,
Simone Lo Faso,Fiorentina,Forward,1,3,0,0,0,0,82,15,38,1,0,0,0,4.05,
Khouma Babacar,Fiorentina,Forward,11,116,3,62,0,5,82,14,39,0,0,1,0,78.85,
Cyril Théréau,Fiorentina,Forward,11,247,4,63,0,14,80,14,51,1,0,0,0,94.825,
Lisandro López,Benfica,Defender,3,21,0,0,0,0,92,18,64,3,0,0,0,27.8,
Alejandro Grimaldo,Benfica,Defender,8,84,0,0,0,10,81,16,48,4,2,1,0,65.1,
Luisão,Benfica,Defender,14,351,1,40,0,0,86,20,46,7,0,3,0,94.93333333333334,
Douglas,Benfica,Defender,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,
Branimir Kalaica,Benfica,Defender,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,
Eliseu,Benfica,Defender,6,16,0,0,0,1,77,17,56,5,0,1,0,49.65,
Jardel,Benfica,Defender,8,168,0,43,0,2,83,20,45,7,1,1,0,62.5,
Rúben Dias,Benfica,Defender,5,100,0,0,0,2,87,22,41,7,0,1,0,46.166666666666664,
Aurélio Buta,Benfica,Defender,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,
Lubomir Fejsa,Benfica,Midfielder,10,122,0,0,0,2,89,19,37,4,0,3,0,74.5,
Filipe Augusto,Benfica,Midfielder,8,71,0,0,0,5,87,18,34,2,0,1,0,56.2,
Andreas Samaris,Benfica,Midfielder,5,75,1,100,0,2,78,22,41,3,0,0,0,49.875,
André Horta,Sporting Braga,Midfielder,5,91,0,67,0,3,86,17,64,1,0,0,0,37.75,
Filip Krovinovic,Benfica,Midfielder,8,134,1,63,0,3,86,14,66,1,0,0,0,60.4,
Franco Cervi,Benfica,Midfielder,11,170,1,44,0,22,78,14,49,1,0,0,0,89.925,
Rafa,Benfica,Midfielder,5,22,0,67,0,4,67,13,27,0,0,0,0,25.75,
André Carrillo,Benfica,Midfielder,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,
André Almeida,Benfica,Midfielder,14,268,2,50,0,13,79,17,52,4,0,4,0,116.85,
Martin Chrien,Benfica,Midfielder,1,3,0,0,0,0,77,13,100,1,0,0,0,12.425,
Diogo Gonçalves,Benfica,Midfielder,5,42,0,57,0,7,77,15,42,1,0,0,0,37.875,
João Carvalho,Benfica,Midfielder,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,
Raúl Jiménez,Benfica,Forward,13,20,0,71,0,6,63,12,46,0,0,2,0,75.05,
Jonas,Benfica,Forward,14,723,16,65,0,23,78,15,50,0,0,1,0,169.8,
Gabriel,Benfica,Forward,1,11,0,0,0,0,100,11,100,0,0,0,0,4.5,
Kostas Mitroglou,Marseille,Forward,3,18,1,57,0,3,56,13,35,0,0,1,0,21.225,
Haris Seferovic,Benfica,Forward,11,120,4,67,0,7,74,13,16,0,0,1,0,84.525,
Andrija Zivkovic,Benfica,Forward,6,72,1,67,0,15,80,17,43,1,0,3,1,50.8,
Eduardo Salvio,Benfica,Forward,12,153,5,59,0,12,79,13,38,2,0,1,0,99.4,
Pizzi,Benfica,Forward,14,261,0,44,0,30,84,20,39,1,0,1,0,109.3,
Chris Willock,Benfica,Forward,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,
Zé Gomes,Benfica,Forward,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,
Bogdan Butko,Shakhtar Donetsk,Defender,5,48,0,0,0,1,84,18,41,8,1,1,0,47.916666666666664,
Sergey Krivtsov,Shakhtar Donetsk,Defender,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,
Davit Khotcholava,Shakhtar Donetsk,Defender,4,9,0,0,0,0,91,22,50,2,0,1,0,26.333333333333336,
Maksim Malyshev,Shakhtar Donetsk,Defender,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,
Ivan Ordets,Shakhtar Donetsk,Defender,6,87,0,0,0,2,90,20,45,7,0,1,0,52.5,
Ismaily,Shakhtar Donetsk,Defender,6,68,1,50,0,3,81,16,61,4,0,1,0,57.15,
Darijo Srna,Shakhtar Donetsk,Defender,1,18,0,0,0,1,83,24,40,8,0,0,0,29.916666666666664,
Yaroslav Rakitskiy,Shakhtar Donetsk,Defender,5,46,0,100,0,0,87,23,68,7,0,2,1,48.66666666666667,
Márcio Azevedo,Shakhtar Donetsk,Defender,1,11,0,0,0,0,100,17,50,0,0,0,0,5.333333333333334,
Taras Stepanenko,Shakhtar Donetsk,Midfielder,6,47,0,0,0,3,88,18,36,3,0,1,0,50.6,
Fred,Shakhtar Donetsk,Midfielder,6,60,0,60,0,8,84,19,54,2,1,1,0,51.7,
Dentinho,Shakhtar Donetsk,Midfielder,4,5,0,0,0,0,81,11,40,0,0,0,0,20.1,
Bernard,Shakhtar Donetsk,Midfielder,6,99,3,100,0,9,80,16,48,3,1,0,0,73.2,
Marlos,Shakhtar Donetsk,Midfielder,6,145,2,88,0,11,85,16,48,1,0,0,0,58.95,
Alan Patrick,Shakhtar Donetsk,Midfielder,2,34,0,100,0,0,96,17,75,1,0,0,0,18.55,
Ivan Petryak,Zorya Luhansk,Midfielder,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,
Yuri Glushchuk,Shakhtar Donetsk,Midfielder,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,
Oleksandr Pikhalyono..,Shakhtar Donetsk,Midfielder,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,
Viktor Kovalenko,Shakhtar Donetsk,Midfielder,4,35,0,0,0,0,86,15,14,0,0,1,0,17.0,
Taison,Shakhtar Donetsk,Forward,6,88,1,36,0,7,85,15,56,1,0,1,0,41.9,
Facundo Ferreyra,Shakhtar Donetsk,Forward,6,60,2,33,0,6,77,12,30,1,0,1,0,43.0,
Oleksandr Zubkov,Shakhtar Donetsk,Forward,1,0,0,0,0,0,0,0,0,0,0,0,0,2.0,
Artem Dudik,Shakhtar Donetsk,Forward,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,
Gustavo Blanco,Shakhtar Donetsk,Forward,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,
Omar Gaber,Basel,Defender,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,
Michael Lang,Basel,Defender,6,76,2,33,0,3,67,19,37,4,0,1,0,53.55,
Marek Suchy,Basel,Defender,6,150,0,0,0,2,84,21,51,10,1,0,0,64.9,
Éder Balanta,Basel,Defender,6,4,0,0,0,3,69,21,41,9,0,2,0,57.15,
Blás Riveros,Basel,Defender,3,10,1,50,0,1,63,15,29,3,0,0,0,28.05,
Raoul Petretta,Basel,Defender,5,46,0,100,0,4,76,15,43,5,0,2,0,42.333333333333336,
Pedro Pacheco,Basel,Defender,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,
Manuel Akanji,Basel,Defender,6,88,0,0,0,1,81,20,41,8,0,2,0,51.65,
Luca Zuffi,Basel,Midfielder,6,142,1,50,0,5,86,19,47,3,0,0,0,59.95,
Renato Steffen,Basel,Midfielder,6,27,0,38,0,5,74,16,42,2,0,0,0,46.4,
Alexander Fransson,Basel,Midfielder,3,0,0,0,0,0,75,19,0,0,0,0,0,11.625,
Geoffroy Serey Dié,Basel,Midfielder,3,29,0,50,0,1,92,18,56,1,0,0,0,24.1,
Mohamed Elyounoussi,Basel,Midfielder,6,45,1,60,0,1,71,14,41,3,0,0,0,52.8,
Dereck Kutesa,Basel,Midfielder,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,
Dominik Schmid,Basel,Midfielder,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,
Kevin Bua,Basel,Midfielder,3,4,0,0,0,1,58,13,50,0,0,0,0,15.1,
Taulant Xhaka,Basel,Midfielder,5,18,1,50,0,3,87,16,53,2,0,4,0,43.5,
Davide Callà,Basel,Midfielder,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,
Ricky van Wolfswinke..,Basel,Forward,2,17,1,100,0,1,78,19,0,2,0,0,0,18.15,
Dimitri Oberlin,Basel,Forward,6,133,4,70,0,4,72,13,41,1,0,0,0,54.3,
Albian Ajeti,Basel,Forward,2,14,0,0,0,0,88,13,10,0,0,0,0,8.4,
Neftali Manzambi,Basel,Forward,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,
Cedric Itten,Basel,Forward,1,2,0,0,0,0,50,8,0,0,0,0,0,3.25,
Afimico Pululu,Basel,Forward,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,
Player Name,Club,Position,Appearances,Squawka Score,Goals Scored,Shot Accuracy,POTM,Chances Created,Average Pass Accuracy,Average Pass Length,Duels Won,Average Defensive Actions,Defensive Errors,Yellow Cards,Red Cards,Points
Player Name,Club,Position,Appearances,Squawka Score,Goals Scored,Shot Accuracy,POTM,Chances Created,Average Pass Accuracy,Average Pass Length,Duels Won,Average Defensive Actions,Defensive Errors,Yellow Cards,Red Cards,Points
Player Name,Club,Position,Appearances,Squawka Score,Goals Scored,Shot Accuracy,POTM,Chances Created,Average Pass Accuracy,Average Pass Length,Duels Won,Average Defensive Actions,Defensive Errors,Yellow Cards,Red Cards,Points
Player Name,Club,Position,Appearances,Squawka Score,Goals Scored,Shot Accuracy,POTM,Chances Created,Average Pass Accuracy,Average Pass Length,Duels Won,Average Defensive Actions,Defensive Errors,Yellow Cards,Red Cards,Points
Player Name,Club,Position,Appearances,Squawka Score,Goals Scored,Shot Accuracy,POTM,Chances Created,Average Pass Accuracy,Average Pass Length,Duels Won,Average Defensive Actions,Defensive Errors,Yellow Cards,Red Cards,Points
