Player Name,Club,Position,Appearances,Squawka Score,Goals Scored,Shot Accuracy,POTM,Chances Created,Average Pass Accuracy,Average Pass Length,Duels Won,Average Defensive Actions,Defensive Errors,Yellow Cards,Red Cards,Points
Sebastian Rode,Borussia Dortmund,Midfielder,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,
Mahmoud Dahoud,Borussia Dortmund,Midfielder,9,123,0,29,0,9,86,16,29,1,0,0,0,58.875,
André Schürrle,Borussia Dortmund,Midfielder,3,7,0,71,0,2,75,12,39,0,0,0,0,16.55,
Christian Pulisic,Borussia Dortmund,Midfielder,14,147,2,50,0,14,81,15,42,2,0,0,0,107.05,
Shinji Kagawa,Borussia Dortmund,Midfielder,11,245,3,55,0,4,87,17,52,0,0,0,0,79.225,
Gonzalo Castro,Borussia Dortmund,Midfielder,11,175,0,33,0,29,87,19,35,1,0,1,0,89.55,
Felix Passlack,TSG 1899 Hoffenheim,Midfielder,2,19,0,0,0,1,83,21,100,1,0,0,0,20.15,
Julian Weigl,Borussia Dortmund,Midfielder,9,212,1,50,0,3,87,18,43,3,0,1,0,72.25,
Andriy Yarmolenko,Borussia Dortmund,Forward,11,233,2,59,0,23,79,17,43,1,0,0,0,96.7,
Marco Reus,Borussia Dortmund,Forward,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,
Alexander Isak,Borussia Dortmund,Forward,2,7,0,0,0,0,0,12,33,0,0,0,0,4.0,
Pierre-Emerick Aubam..,Borussia Dortmund,Forward,14,384,12,58,0,13,76,14,31,0,0,1,1,135.15,
Maximilian Philipp,Borussia Dortmund,Forward,10,334,6,48,0,12,74,15,55,1,0,0,0,89.5,
Emre Mor,Celta de Vigo,Forward,8,47,1,67,0,4,77,14,65,0,0,1,0,52.8,
Jacob Bruun Larsen,Borussia Dortmund,Forward,1,6,0,0,0,0,100,20,25,0,0,0,0,4.5,
Niklas Süle,FC Bayern München,Defender,12,347,1,33,0,3,94,21,50,4,0,0,0,85.75,
Mats Hummels,FC Bayern München,Defender,14,430,1,27,0,3,88,22,53,4,1,1,0,98.21666666666667,
Javi Martínez,FC Bayern München,Defender,10,211,0,8,0,5,87,19,58,4,0,1,0,75.91666666666666,
Rafinha,FC Bayern München,Defender,12,303,0,67,0,11,89,18,44,3,0,2,0,79.95,
Juan Bernat,FC Bayern München,Defender,2,18,0,0,0,1,97,18,44,2,0,0,0,17.116666666666667,
Jérôme Boateng,FC Bayern München,Defender,8,243,0,25,0,6,89,25,44,2,0,1,0,51.96666666666667,
Felix Götze,FC Bayern München,Defender,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,
David Alaba,FC Bayern München,Defender,11,286,1,33,0,8,89,16,39,2,0,1,0,71.6,
Marco Friedl,FC Bayern München,Defender,1,11,0,0,0,1,90,18,25,1,0,0,0,7.916666666666667,
Thiago Alcántara,FC Bayern München,Midfielder,9,368,1,29,0,15,92,19,54,3,0,2,0,86.85,
Franck Ribéry,FC Bayern München,Midfielder,9,134,0,43,0,19,89,17,60,1,0,0,0,76.525,
Arjen Robben,FC Bayern München,Midfielder,11,298,3,58,0,15,86,16,50,1,0,0,0,95.4,
James Rodríguez,FC Bayern München,Midfielder,11,396,2,54,0,24,90,20,52,1,0,1,0,100.05,
Sebastian Rudy,FC Bayern München,Midfielder,12,254,0,43,0,10,90,18,57,1,0,0,0,84.1,
Arturo Vidal,FC Bayern München,Midfielder,13,472,5,58,0,22,91,18,42,2,1,4,0,124.225,
Corentin Tolisso,FC Bayern München,Midfielder,14,351,2,50,0,5,90,18,49,1,0,3,0,94.65,
Niklas Dorsch,FC Bayern München,Midfielder,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,
Joshua Kimmich,FC Bayern München,Midfielder,16,518,1,20,0,39,90,20,51,2,0,1,0,143.4,
Timothy Tillman,FC Bayern München,Midfielder,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,
Renato Sanches,Swansea City,Midfielder,9,17,0,0,0,4,82,17,53,1,1,1,0,57.375,
Fabian Benko,FC Bayern München,Midfielder,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,
Mario Crnicki,FC Bayern München,Forward,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,
Robert Lewandowski,FC Bayern München,Forward,16,507,15,57,0,17,80,14,36,1,0,0,0,168.05,
Thomas Müller,FC Bayern München,Forward,12,92,1,41,0,22,74,15,34,1,1,2,0,88.0,
Kingsley Coman,FC Bayern München,Forward,14,361,2,56,0,17,87,18,63,1,0,0,0,107.3,
Milos Pantovic,FC Bayern München,Forward,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,
Diego Godín,Atlético de Madrid,Defender,12,283,0,50,0,0,86,22,52,8,1,3,0,86.6,
Filipe Luis,Atlético de Madrid,Defender,10,297,1,50,0,9,84,16,55,3,0,2,0,80.91666666666666,
Stefan Savic,Atlético de Madrid,Defender,13,222,0,0,0,1,81,23,42,9,0,3,0,87.65,
Sime Vrsaljko,Atlético de Madrid,Defender,4,4,0,0,0,2,66,18,41,5,0,2,0,34.43333333333334,
Lucas Hernández,Atlético de Madrid,Defender,10,167,0,0,0,2,84,16,57,5,0,2,0,73.5,
Juanfran,Atlético de Madrid,Defender,8,17,0,0,0,2,77,16,33,5,0,3,0,48.1,
José Giménez,Atlético de Madrid,Defender,8,84,1,25,0,2,78,22,60,4,1,0,0,68.5,
Sergio González,Atlético de Madrid,Defender,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,
Thomas Partey,Atlético de Madrid,Midfielder,14,208,2,25,0,3,82,17,49,3,1,2,0,102.85,
Koke,Atlético de Madrid,Midfielder,12,136,2,86,0,19,82,17,49,2,0,2,0,102.3,
Saúl Ñíguez,Atlético de Madrid,Midfielder,15,281,2,30,0,10,83,16,42,5,0,4,0,122.875,
Yannick Carrasco,Atlético de Madrid,Midfielder,11,103,3,50,0,12,79,14,46,0,0,3,0,80.375,
Augusto Fernández,Atlético de Madrid,Midfielder,3,19,0,0,0,1,83,14,40,2,0,0,0,28.225,
Gabi,Atlético de Madrid,Midfielder,14,88,0,0,0,4,84,19,40,3,0,3,0,90.4,
Nicolás Gaitán,Atlético de Madrid,Midfielder,6,33,0,75,0,5,79,16,46,1,0,0,0,41.75,
Antoine Griezmann,Atlético de Madrid,Forward,12,260,5,68,0,21,77,15,44,1,0,3,1,107.75,
Fernando Torres,Atlético de Madrid,Forward,10,7,0,40,0,2,60,12,54,0,0,0,0,47.5,
Ángel Correa,Atlético de Madrid,Forward,15,9,4,74,0,13,72,14,39,1,0,2,0,115.0,
Luciano Vietto,Atlético de Madrid,Forward,6,10,0,17,0,1,86,12,43,1,0,1,0,27.7,
Diego Costa,Atlético de Madrid,Forward,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,
Kevin Gameiro,Atlético de Madrid,Forward,9,110,3,89,0,5,80,10,38,1,0,0,0,74.275,
Sébastien Corchia,Sevilla,Defender,8,32,0,100,0,3,82,17,52,4,0,3,0,56.483333333333334,
Lionel Carole,Sevilla,Defender,5,67,0,50,0,3,83,17,52,7,0,0,0,52.08333333333333,
Simon Kjaer,Sevilla,Defender,11,186,0,0,0,1,87,19,52,8,0,1,0,84.38333333333333,
Clément Lenglet,Sevilla,Defender,15,164,2,100,0,1,84,20,44,6,0,5,0,100.25,
Daniel Carriço,Sevilla,Defender,3,58,0,0,0,1,88,20,43,6,0,1,0,32.85,
Sergio Escudero,Sevilla,Defender,10,99,0,33,0,3,80,18,52,5,1,2,0,71.41666666666666,
Nico Pareja,Sevilla,Defender,2,47,0,0,0,0,91,23,23,6,0,0,0,25.066666666666666,
Gabriel Mercado,Sevilla,Defender,11,66,0,45,0,5,81,17,39,5,0,3,0,68.85,
Michael Krohn-Dehli,Sevilla,Midfielder,12,36,1,50,0,2,85,17,43,1,0,0,0,75.4,
Walter Montoya,Sevilla,Midfielder,1,23,0,0,0,1,70,17,36,3,0,0,0,23.65,
Éver Banega,Sevilla,Midfielder,13,172,2,56,0,22,90,20,54,1,0,3,1,104.8,
Ganso,Sevilla,Midfielder,7,87,2,60,0,7,83,14,41,1,0,0,0,58.7,
Joaquín Correa,Sevilla,Midfielder,8,54,0,50,0,6,86,15,51,1,0,2,0,53.4,
Johannes Geis,Sevilla,Midfielder,6,82,0,0,0,2,88,17,52,4,0,0,0,59.0,
Guido Pizarro,Sevilla,Midfielder,12,126,1,50,0,2,87,18,44,4,0,4,0,90.3,
Steven N'Zonzi,Sevilla,Midfielder,10,196,0,25,0,3,90,17,58,2,1,1,0,71.0,
Jesús Navas,Sevilla,Midfielder,14,48,1,38,0,12,74,16,36,1,0,2,0,87.5,
Pablo Sarabia,Sevilla,Midfielder,14,211,1,67,0,17,82,16,40,2,0,1,0,103.7,
Franco Vázquez,Sevilla,Midfielder,11,14,1,29,0,18,76,15,41,1,0,3,0,80.175,
Borja Lasso,Sevilla,Midfielder,1,8,0,0,0,1,74,16,10,0,0,0,0,5.1,
Wissam Ben Yedder,Sevilla,Forward,9,100,3,72,0,10,78,12,32,0,0,0,0,76.25,
Luis Muriel,Sevilla,Forward,12,62,3,54,0,9,77,13,31,0,1,2,0,84.55,
Nolito,Sevilla,Forward,11,62,2,60,0,11,70,16,54,1,0,2,0,77.5,
Thiago Silva,Paris Saint-Germain,Defender,11,411,0,14,0,2,96,18,54,6,0,1,0,81.1,
Presnel Kimpembe,Paris Saint-Germain,Defender,12,393,0,40,0,1,95,17,55,5,0,4,0,80.25,
Marquinhos,Paris Saint-Germain,Defender,12,367,0,0,0,2,94,19,50,6,1,1,0,83.5,
Thomas Meunier,Paris Saint-Germain,Defender,8,200,3,60,0,7,85,14,39,3,1,2,0,70.55,
Yuri,Paris Saint-Germain,Defender,11,138,0,25,0,5,88,13,57,3,0,3,0,76.05,
Layvin Kurzawa,Paris Saint-Germain,Defender,9,197,1,25,0,5,87,12,41,4,0,1,0,65.85,
Alec Georgen,Paris Saint-Germain,Defender,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,
Dani Alves,Paris Saint-Germain,Defender,12,361,0,30,0,18,88,15,49,2,0,3,0,88.7,
Lorenzo Callegari,Paris Saint-Germain,Midfielder,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,
Marco Verratti,Paris Saint-Germain,Midfielder,13,243,0,0,0,17,91,16,51,2,3,5,1,93.15,
Lucas Moura,Paris Saint-Germain,Midfielder,5,64,1,67,0,1,90,15,42,0,0,1,0,31.5,
Gonçalo Guedes,Portugal,Midfielder,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,
Thiago Motta,Paris Saint-Germain,Midfielder,8,268,1,33,0,7,95,17,37,3,0,2,0,70.4,
Ángel Di María,Paris Saint-Germain,Midfielder,13,301,2,62,0,19,80,15,38,0,0,0,0,93.35,
Giovani Lo Celso,Paris Saint-Germain,Midfielder,13,136,0,50,0,5,91,16,56,1,0,0,0,84.775,
Grzegorz Krychowiak,West Bromwich Albion,Midfielder,10,142,0,20,0,3,82,19,56,4,0,1,0,80.5,
Hatem Ben Arfa,Paris Saint-Germain,Midfielder,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,
Julian Draxler,Paris Saint-Germain,Midfielder,14,354,2,63,0,13,93,16,50,2,0,1,0,112.05,
Christopher Nkunku,Paris Saint-Germain,Midfielder,5,7,0,0,0,0,98,12,30,1,0,0,0,32.0,
Adrien Rabiot,Paris Saint-Germain,Midfielder,17,582,1,36,0,17,93,15,53,2,1,1,0,129.05,
Javier Pastore,Paris Saint-Germain,Midfielder,11,237,4,44,0,12,84,14,48,1,0,0,0,96.3,
Edinson Cavani,Paris Saint-Germain,Forward,16,740,17,65,0,17,78,14,48,1,0,0,0,178.45,
Neymar,Paris Saint-Germain,Forward,12,863,9,69,0,47,77,15,65,0,0,5,1,154.55,
Kylian Mbappe,Paris Saint-Germain,Forward,12,356,6,50,0,21,83,13,58,0,0,2,0,112.15,
Dinis Almeida,Monaco,Defender,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,
